Site	startDT	endDT	sampleYR	DischargeGage	AltDischGage
1124000	2015-06-09	2015-09-24	2015	1124000	0
1124000	2016-06-22	2016-09-26	2016	1124000	0
1125100	2015-06-09	2015-09-24	2015	1125100	0
1125100	2016-06-22	2016-09-26	2016	1125100	0
1195510	2015-06-10	2015-09-09	2015	1195490	1
1195510	2016-06-24	2016-09-30	2016	1195490	1
1196222	2015-06-11	2015-09-20	2015	NA	1
1196222	2016-06-25	2016-09-28	2016	NA	1
1196500	2015-06-10	2015-12-31	2015	1196500	0
1196500	2016-06-15	2016-09-30	2016	1196500	0
1196528	2015-06-10	2015-09-18	2015	NA	1
1196528	2016-06-25	2016-09-28	2016	NA	1
1201487	2015-06-12	2015-09-28	2015	1201487	0
1201487	2016-06-10	2016-09-26	2016	1201487	0
1203000	2015-06-10	2015-09-20	2015	NA	1
1203000	2016-06-24	2016-09-26	2016	NA	1
1208500	2015-06-10	2015-09-22	2015	1208500	0
1208500	2016-06-24	2016-09-27	2016	1208500	0
1208990	2015-06-09	2015-09-22	2015	1208990	0
1208990	2016-06-24	2016-09-27	2016	1208990	0
1193463	2015-06-08	2015-09-24	2015	1193500	1
1200600	2015-06-12	2015-09-30	2015	NA	1
